ts	phase	unit	decision	rationale	evidence
2026-08-29T21:20Z	A	frame	Done predicate: (1) no responder route answers and no client stream/tool module remains, (2) one route under app/(main) renders chat and no surface says "computer chat", (3) the surface's transcript comes from the cloud journal and its send goes through placement admission, (4) placement machinery, voice storage-mode hatch, cloud read cache, and non-chat bridge all still present.	prove-it-works: every clause is checkable by grep, a route fetch, or a suite run	task brief; verified maps below
2026-08-29T21:25Z	A	frame	Riskiest unknown first: does a computer-placed turn actually reach the cloud conversation the phone reads? Everything else is deletion.	If it does not, unification would silently split transcripts and the whole plan is wrong	traced host/index.js -> orchestrator.ts -> orchestrator-launch.ts -> cloud-transcript-write.ts
2026-08-29T21:30Z	C	U1	Desktop-placed turns keyed userMessageEventId off dispatch.dispatchId, not a local event id.	The DO echoes clientMsgId; mobile binds its optimistic bubble to the dispatch id, so a different string shows the user's prompt twice	9e2315c94; regression asserted in unified-chat-transcript.test.ts
2026-08-29T21:32Z	C	U1	Verified storageMode defaults to "cloud" via resolveConversationStorageMode(undefined), so the host's placement path needs no flag to write the journal.	Confirms the claim rather than assuming it	conversation-storage-mode.test.ts; orchestrator-policy.ts:164
2026-08-29T21:38Z	C	U2	Deleted the responder's backend surface but kept the offline_responder agent, model config, and prompt.	connector_delivery uses that agent as its fallback and DEFAULT_MODEL derives from it, so it is shared infrastructure, not chat-responder code	5d05e8acf
2026-08-29T21:50Z	C	U4	Collapsed useChatThread's three transports to one cloud authority; the hook became composer-only and ChatThread's transcript half moved to the cloud-canonical hook.	extract-not-duplicate: the branch existed only because two other authorities existed	a9b31eb13
2026-08-29T22:05Z	C	U3	Kept requiredCapabilities ["chat"], not ["chat","computer-use"], while offering subject "computer".	Requiring computer-use would make any desktop that does not advertise it ineligible for ordinary chat work and would defeat the cloud fallback	1b8a1a26f; unified-chat-placement.test.ts
2026-08-29T22:10Z	C	U3	CarPlay uses the same cloud-canonical hook with its own outbox thread id "carplay"; guests get a sign-in row instead of a talk row.	Sharing the chat tab's outbox would race two surfaces over one durable queue; a guest chat could never answer once the responder was gone	1b8a1a26f; carplay-home.test.ts
2026-08-29T22:12Z	C	U3	Deleted the phone/computer voice target preference and its Account picker.	Placement is automatic and invisible, so a user-facing destination toggle contradicts the product decision	1b8a1a26f
2026-08-29T22:40Z	C	U4b	Deleted six modules the collapse orphaned (local paging window, incremental persistence policy, steer pump, sync pagination, sync diagnostics, canonical client policy) after confirming useChatThread was their only caller on 33cfe555d.	migrate-callers-then-delete; the cloud conversation store owns windowing and the lease/authority gates are now single inline conditions	eee9d0c2f; git grep on baseline
2026-08-29T22:45Z	C	U5	Extracted the chat's placement request and status copy into unified-chat-placement.ts.	Lets the test assert the shipped policy instead of restating literals; keeps the one place placement is user-visible legible	6b9649320
2026-08-29T22:55Z	C	U6	Removed the Rewind action, its two-step confirm, the popover flags nothing else set, and the SQLite/AsyncStorage truncate beneath it.	Baseline wired it for guests only and the cloud hook already answered with a documented no-op; with no local transcript owner it is an unreachable destructive branch	727af8404
2026-08-29T22:58Z	C	U6	Left loadRecent/loadOlder/loadChatMessages/findChatMessageCursor/loadChatSyncState in place despite no production caller.	They are the cloud read cache's tested read surface and the cache is a keep-item; deleting them would remove verification of a subsystem the brief preserves	reported as a deviation
2026-08-29T23:05Z	E	verify	All six gates match the allowed baseline exactly; no new failure introduced.	Phase A predicate holds on the real product	gate numbers in the report
